"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"1","Layer 03","","curve","closed freeform"
"2","Layer 02","","curve","closed freeform"
"3","Layer 02","","point","0,0,0"
"4","Layer 02","","point","15.16166087480339,0,8.896094040896788"
"5","Layer 02","","point","37.37004848074636,0,31.42754626061188"
"6","Layer 02","","point","24.27062570316281,0,12.44035353532077"
"7","Layer 02","","point","20,0,146.6485939159284"
"8","Layer 02","","point","1.292418195536555,0,34.03323281278519"
"9","Layer 02","","point","0,0,0"
"10","Layer 02","","curve","closed freeform"
"11","Layer 02","","point","0,0,0"
"12","Layer 02","","point","18.84999120554421,0,9.104314746383725"
"13","Layer 02","","point","38.52625694522926,0,20.64100812684791"
"14","Layer 02","","point","26.32422635626245,0,15.67706334669006"
"15","Layer 02","","point","20,0,143.3864720693726"
"16","Layer 02","","point","3.917902933395423,0,38.91907582474829"
"17","Layer 02","","point","0,0,0"
"18","Layer 02","","curve","closed freeform"
"19","Layer 02","","point","0,0,0"
"20","Layer 02","","point","14.12580146180736,0,9.705787543070404"
"21","Layer 02","","point","31.79016432808254,0,40.74270876624747"
"22","Layer 02","","point","22.60457804082175,0,17.09514093915706"
"23","Layer 02","","point","20,0,95.14165023581201"
"24","Layer 02","","point","8.74468727444517,0,4.370839853943717"
"25","Layer 02","","point","0,0,0"
"26","Layer 01","","curve","closed freeform"
"27","Layer 01","","curve","closed polyline"
"28","Default","","curve","closed freeform"
"29","Default","","curve","closed freeform"
