"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"1","Layer 08","","curve","closed freeform"
"2","Layer 08","","curve","closed freeform"
"3","Layer 08","","curve","closed freeform"
"4","Layer 08","","curve","closed freeform"
"5","Layer 08","","curve","closed freeform"
"6","Layer 08","","curve","closed freeform"
"7","Layer 08","","curve","closed freeform"
"8","Layer 08","","curve","closed freeform"
"9","Layer 08","","curve","closed freeform"
"10","Layer 08","","curve","closed freeform"
"11","Layer 08","","curve","closed freeform"
"12","Layer 08","","curve","closed freeform"
"13","Layer 08","","curve","closed freeform"
"14","Layer 08","","curve","closed freeform"
"15","Layer 08","","curve","closed freeform"
"16","Layer 08","","curve","closed freeform"
"17","Layer 08","","curve","closed freeform"
"18","Layer 08","","curve","closed freeform"
"19","Layer 08","","curve","closed freeform"
"20","Layer 08","","curve","closed freeform"
"21","Layer 08","","curve","closed freeform"
"22","Layer 08","","curve","closed freeform"
"23","Layer 08","","curve","closed freeform"
"24","Layer 08","","curve","closed freeform"
"25","Layer 08","","curve","closed freeform"
"26","Layer 08","","curve","closed freeform"
"27","Layer 08","","curve","closed freeform"
"28","Layer 08","","curve","closed freeform"
"29","Layer 08","","curve","closed freeform"
"30","Layer 08","","curve","closed freeform"
"31","Layer 08","","curve","closed freeform"
"32","Layer 08","","curve","closed freeform"
"33","Layer 08","","curve","closed freeform"
"34","Layer 08","","curve","closed freeform"
"35","Layer 08","","curve","closed freeform"
"36","Layer 08","","curve","closed freeform"
"37","Layer 08","","curve","closed freeform"
"38","Layer 08","","curve","closed freeform"
"39","Layer 08","","curve","closed freeform"
"40","Layer 08","","curve","closed freeform"
"41","Layer 08","","curve","closed freeform"
"42","Layer 08","","curve","closed freeform"
"43","Layer 08","","curve","closed freeform"
"44","Layer 08","","curve","closed freeform"
"45","Layer 08","","curve","closed freeform"
"46","Layer 08","","curve","closed freeform"
"47","Layer 08","","curve","closed freeform"
"48","Layer 08","","curve","closed freeform"
"49","Layer 08","","curve","closed freeform"
"50","Layer 08","","curve","closed freeform"
"51","Layer 08","","curve","closed freeform"
"52","Layer 08","","curve","closed freeform"
"53","Layer 08","","curve","closed freeform"
"54","Layer 08","","curve","closed freeform"
"55","Layer 08","","curve","closed freeform"
"56","Layer 08","","curve","closed freeform"
"57","Layer 08","","curve","closed freeform"
"58","Layer 08","","curve","closed freeform"
"59","Layer 08","","curve","closed freeform"
"60","Layer 08","","curve","closed freeform"
"61","Layer 08","","curve","closed freeform"
"62","Layer 08","","curve","closed freeform"
"63","Layer 08","","curve","closed freeform"
"64","Layer 08","","curve","closed freeform"
"65","Layer 08","","curve","closed freeform"
"66","Layer 08","","curve","closed freeform"
"67","Layer 08","","curve","closed freeform"
"68","Layer 08","","curve","closed freeform"
"69","Layer 08","","curve","closed freeform"
"70","Layer 08","","curve","closed freeform"
"71","Layer 08","","curve","closed freeform"
"72","Layer 08","","curve","closed freeform"
"73","Layer 08","","curve","closed freeform"
"74","Layer 08","","curve","closed freeform"
"75","Layer 08","","curve","closed freeform"
"76","Layer 08","","curve","closed freeform"
"77","Layer 08","","curve","closed freeform"
"78","Layer 08","","curve","closed freeform"
"79","Layer 08","","curve","closed freeform"
"80","Layer 08","","curve","closed freeform"
"81","Layer 08","","curve","closed freeform"
"82","Layer 08","","curve","closed freeform"
"83","Layer 08","","curve","closed freeform"
"84","Layer 08","","curve","closed freeform"
"85","Layer 08","","curve","closed freeform"
"86","Layer 08","","curve","closed freeform"
"87","Layer 08","","curve","closed freeform"
"88","Layer 08","","curve","closed freeform"
"89","Layer 08","","curve","closed freeform"
"90","Layer 08","","curve","closed freeform"
"91","Layer 08","","curve","closed freeform"
